Илья,Иванович,Киреев,21,1,1111,111111,AA07AMM
Павел,Иванович,Корольков,24,4,1112,111112,AAC792H
Александр,Владимирович,Лысенко,26,5,1122,112111,AAY452D
Евгений,Валерьевич,Цой,22,2,2222,222111,AB01MFL
Андрей,Максимович,Иванов,28,10,4545,771772,AB14GMD
Вадим,Владимирович,Иванов,34,12,3732,555213,AB15UVT
Владимир,Игоревич,Попов,32,8,2895,895324,AB19NWG
Илья,Валерьевич,Кузнецов,33,4,9967,665382,ABV496J
Слава,Алексеевич,Мосин,45,20,6930,555358,ABW940K
Александр,Иванович,Зайцев,19,1,5555,769902,ABX857D
